Datetime,Close,High,Low,Open,Volume
,TSLA,TSLA,TSLA,TSLA,TSLA
2025-09-15,410.0400085449219,425.70001220703125,402.42999267578125,423.1300048828125,163823700
2025-09-16,421.6199951171875,423.25,411.42999267578125,414.5,104285700
2025-09-17,425.8599853515625,428.30999755859375,409.6700134277344,415.75,106133500
2025-09-18,416.8500061035156,432.2200012207031,416.55999755859375,428.8699951171875,90454500
2025-09-19,426.07000732421875,429.4700012207031,421.7200012207031,421.82000732421875,93131000
2025-09-22,434.2099914550781,444.9800109863281,429.1300048828125,431.1099853515625,97108800
2025-09-23,425.8500061035156,440.9700012207031,423.7200012207031,439.8800048828125,83422700
2025-09-24,442.7900085449219,444.2099914550781,429.0299987792969,429.8299865722656,93133600
2025-09-25,423.3900146484375,435.3500061035156,419.0799865722656,435.239990234375,96746400
2025-09-26,440.3999938964844,440.4700012207031,421.0199890136719,428.29998779296875,101628200
2025-09-29,443.2099914550781,450.9800109863281,439.5,444.3500061035156,79491500
2025-09-30,444.7200012207031,445.0,433.1199951171875,441.5199890136719,74358000
2025-10-01,459.4599914550781,462.2900085449219,440.75,443.79998779296875,98122300
2025-10-02,436.0,470.75,435.57000732421875,470.5400085449219,137009000
2025-10-03,429.8299865722656,446.7699890136719,416.5799865722656,443.2900085449219,133188200
2025-10-06,453.25,453.54998779296875,436.69000244140625,440.75,85324900
2025-10-07,433.0899963378906,452.67999267578125,432.45001220703125,447.82000732421875,102296100
2025-10-08,438.69000244140625,441.3299865722656,425.2300109863281,437.57000732421875,71192100
2025-10-09,435.5400085449219,436.3500061035156,426.17999267578125,431.80999755859375,69339900
2025-10-10,413.489990234375,443.1300048828125,411.45001220703125,436.5400085449219,112107900
2025-10-13,435.8999938964844,436.8900146484375,419.70001220703125,423.5299987792969,79552800
2025-10-14,429.239990234375,434.20001220703125,417.8599853515625,426.7900085449219,71541278
